name,location,origin,location_country,origin_country,origin_country_1,origin_country_2,origin_country_3,origin_country_4,origin_country_5,origin_country_6
Chiayi Blend,"Chia-Yi, Taiwan",Colombia; Brazil; Kenya,Taiwan,Colombia; Brazil; Kenya,Colombia, Brazil, Kenya,,,
Alaka Ethiopia,"Madison, Wisconsin","Hambela Wamena, Guji Zone, Oromia, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Out of Africa Blend,"Bozeman, Montana",Kenya; Ethiopia,United States,Kenya; Ethiopia,Kenya, Ethiopia,,,,
El Triunfo Mexico,"Madison, Wisconsin","Sierra Madre, Chiapas, Mexico",United States,Mexico,Mexico,,,,,
Organic Ethiopia Shantawene Natural,"Oakland, California","Sidama (also Sidamo) growing region, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Ethiopia Wate Mini Natural Espresso,"Taipei, Taiwan","Hambela Dimtu, Guji, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
BNT Espresso Blend,"Nantou, Taiwan",Ethiopia; Guatemala; Honduras,Taiwan,Ethiopia; Guatemala; Honduras,Ethiopia, Guatemala, Honduras,,,
BNT Espresso Blend,"Nantou, Taiwan",Ethiopia; Guatemala; Honduras,Taiwan,Ethiopia; Guatemala; Honduras,Ethiopia, Guatemala, Honduras,,,
Ethiopia Worka Sakaro Anaerobic Natural,"Albuquerque, New Mexico","Gedeb District, Gedeo Zone, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
El Triunfo Mexico,"Madison, Wisconsin","Sierra Madre, Chiapas, Mexico",United States,Mexico,Mexico,,,,,
Magnolia Blend Espresso,"Charlotte, North Carolina",Papua New Guinea; Costa Rica,United States,Papua New Guinea; Costa Rica,Papua New Guinea, Costa Rica,,,,
Ethiopian Sweet Lily,"Manassas, Virginia","Guji Zone, Oromia Region, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Bolivia Apolo  Microlot,"Manassas, Virginia",Bolivia,United States,Bolivia,Bolivia,,,,,
Espresso,"Holualoa, United States","Holualoa, North Kona growing district, United States",United States,United States,United States,,,,,
Guatemala CODECH Women’s Lot,"Oakland, California","Concepción Huista, Huehuetenango Department, Guatemala",United States,Guatemala,Guatemala,,,,,
Ethiopia Sidama Durato Bombe,"Portland, Maine","Bombe mountains, Sidama Region, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Organic 18 Rabbits Honduras,"Manassas, Virginia","Marcala, Honduras",United States,Honduras,Honduras,,,,,
GW01 Finca Sophia OlympUnited States Geisha,"Yilan, Taiwan","Nueva Suiza, Chiriquí, Panama",Taiwan,Panama,Panama,,,,,
Ethiopia COE 2nd place Washed Sidamo Rumudamo,"Chia-Yi, Taiwan","Arbegona, Sidama (also Sidamo) growing region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Colombia Granja La Esperanza Java Anaerobic,"San Diego, California","Valle del Cauca growing region, Colombia",United States,Colombia,Colombia,,,,,
Kona Mocca®,"Holualoa, United States","Holualoa, North Kona growing district, United States",United States,United States,United States,,,,,
Finca Sophia Gesha Washed,"San Rafael, California","Nueva Suiza, Chiriquí, Panama",United States,Panama,Panama,,,,,
Kona Mocca®,"Holualoa, United States","Holualoa, North Kona growing district, United States",United States,United States,United States,,,,,
Kona Mocca®,"Holualoa, United States","Holualoa, North Kona growing district, United States",United States,United States,United States,,,,,
Panama Abu Natural ASD Geisha BOP GN11,"Chia-Yi, Taiwan","Boquete growing region, Panama",Taiwan,Panama,Panama,,,,,
Kona Mocca®,"Holualoa, United States","Holualoa, North Kona growing district, United States",United States,United States,United States,,,,,
Holiday Coffee,"Holualoa, United States","Holualoa, North Kona growing district, United States",United States,United States,United States,,,,,
Kona Red Bourbon Anaerobic Washed Uluwehi Farm,"Minneapolis, Minnesota","Holualoa, Kona, United States",United States,United States,United States,,,,,
Kona Pointu Laurina,"Holualoa, United States","Kona growing region, United States",United States,United States,United States,,,,,
Holiday Coffee,"Holualoa, United States","Holualoa, North Kona growing district, United States",United States,United States,United States,,,,,
Kona Lactic Natural Black Rock Farm,"Minneapolis, Minnesota","Kona, United States",United States,United States,United States,,,,,
Holiday Coffee,"Holualoa, United States","Holualoa, North Kona growing district, United States",United States,United States,United States,,,,,
Coffea Diversa Yellow Dalle Honey,"Minneapolis, Minnesota","Suchitan, Guatemala",United States,Guatemala,Guatemala,,,,,
Panama Finca Minerva-Mirage Pacamara BOP PAC04,"Chia-Yi, Taiwan","Boquete growing region, Panama",Taiwan,Panama,Panama,,,,,
Honey Typica Anaerobic,"Captain Cook, United States","North Kona growing district, United States",United States,United States,United States,,,,,
Natural Typica Anaerobic,"Captain Cook, United States","North Kona growing district, United States",United States,United States,United States,,,,,
Kona SL34,"Holualoa, Hawaii","Kona growing region, United States",United States,United States,United States,,,,,
K7 Sweet Spot,"Holualoa, Hawaii","Kona growing region, United States",United States,United States,United States,,,,,
Ardent Ethiopia Natural,"Madison, Wisconsin","Sidamo (also Sidama) growing region, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Geisha,"Captain Cook, Hawaii","North Kona growing district, United States",United States,United States,United States,,,,,
Holiday Blend,"Captain Cook, United States","North Kona growing district, United States",United States,United States,United States,,,,,
Kenya AA Ares Phoenix Special,"Taoyuan, Taiwan","Nyeri growing region, Kenya",Taiwan,Kenya,Kenya,,,,,
Flower Queens of Africa Blend,"Taipei, Taiwan","Guji Zone, Oromia Region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Kenya Nyeri,"Taipei, Taiwan","Nyeri growing region, Kenya",Taiwan,Kenya,Kenya,,,,,
Kenya Nyeri,"Taipei, Taiwan","Nyeri growing region, Kenya",Taiwan,Kenya,Kenya,,,,,
Ka’u Yellow Caturra Anaerobic Natural,"Minneapolis, Minnesota","Ka’u growing region, United States",United States,United States,United States,,,,,
Kaguyu,"Madison, Wisconsin","Kirinyaga, Kenya",United States,Kenya,Kenya,,,,,
Kenya Nyeri,"Taipei, Taiwan","Nyeri growing region, Kenya",Taiwan,Kenya,Kenya,,,,,
Ethiopia Guji Chembi,"Keelung, Taiwan","Guji Zone, Oromia Region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
WUnited Statesh WUnited Statesh,"Floyd, Virginia","Sidama growing region, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Tigesit Waqa,"San Diego, California","Yirgacheffe growing region, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Ethiopia “Ear Candy” Uraga Guji,"HoUnited Stateston, Texas","Guji Zone, Oromia region, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
“Double A Train” Kenya Kabunyeria AA,"HoUnited Stateston, Texas","Kericho County, Rift Valley region, Kenya",United States,Kenya,Kenya,,,,,
Ethiopia Kochere Boji,"Lexington, Virginia","Yirgacheffe growing region, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Costa Rica Naranjo Cattleya,"Lexington, Virginia","Naranjo, Central Valley, Costa Rica",United States,Costa Rica,Costa Rica,,,,,
Shantawene Ethiopia Daya Bensa Natural,"San Diego, California","Sidamo (also Sidama) growing region, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Ethiopia Dur Feres Natural,"Floyd, Virginia","Sidamo (also Sidama) growing region, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Colombia FUDAM Nariño,"Lexington, Virginia","Nariño Department, Columbia",United States,Columbia,Columbia,,,,,
Colombia FUDAM Nariño,"Lexington, Virginia","Nariño Department, Columbia",United States,Columbia,Columbia,,,,,
Umoja Organic Red Bourbon,"Eugene, Oregon","South Kivu Province, Democratic Republic of the Congo",United States,Democratic Republic of the Congo,Democratic Republic of the Congo,,,,,
Ethiopia Guji Super-Natural Decaf Water Process,"Chicago, Illinois","Guji Zone, Oromia Region, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Halo Hartume,"Madison, Wisconsin","Gedeb District, Yirgacheffe growing region, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Kenya AA FAQ,"Yilan, Taiwan",Kenya,Taiwan,Kenya,Kenya,,,,,
Tanzania Shimiligwanda,"Lexington, Virginia","Songwe Region, Tanzania",United States,Tanzania,Tanzania,,,,,
La Union,"Madison, Wisconsin","Nariño Department, Columbia",United States,Columbia,Columbia,,,,,
Ethiopia Natural Guji Blue-Donkey 2020,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Kenya Washed Peaberry RnyeUnited Statesi,"Chia-Yi, Taiwan","Central Province, Kenya",Taiwan,Kenya,Kenya,,,,,
Ethiopia Yirgacheffe Natural Haru Suke G1,"Chia-Yi, Taiwan","Gedeo, Yirgacheffe growing region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Organic Red Honey Ramirez Estate Microlot,"Manassas, Virginia","Jarabacoa, Dominican Republic",United States,Dominican Republic,Dominican Republic,,,,,
Panama Carmen Geisha Washed Light Roast,"Yilan, Taiwan","Paso Ancho, Panama",Taiwan,Panama,Panama,,,,,
Kona Mocca®,"Holualoa, United States","Holualoa, North Kona growing district, United States",United States,United States,United States,,,,,
Kona Mocca®,"Holualoa, United States","Holualoa, North Kona growing district, United States",United States,United States,United States,,,,,
Kona Mocca®,"Holualoa, United States","Holualoa, North Kona growing district, United States",United States,United States,United States,,,,,
Kona Mocca®,"Holualoa, United States","Holualoa, North Kona growing district, United States",United States,United States,United States,,,,,
Colombia Pink Bourbon Natural,"Hilo, Hawaii","Garzón, Huila Department, Colombia",United States,Colombia,Colombia,,,,,
Colombia La Siria Gesha,"San Diego, California","La Argentina, Huila Department, Colombia",United States,Colombia,Colombia,,,,,
Colombia WUnited Statesh WUnited Statesh Dynamic Natural,"Osaka, Japan","San AgUnited Statestín, Huila Department, Colombia",Japan,Colombia,Colombia,,,,,
Ka‘ū Yellow Caturra Peaberry,"Hilo, Hawaii","Ka‘ū, United States",United States,United States,United States,,,,,
Colombia WUnited Statesh WUnited Statesh Dynamic Natural,"Osaka, Japan","San AgUnited Statestín, Huila Department, Colombia",Japan,Colombia,Colombia,,,,,
Colombia Nestor Lasso Sidra,"San Jose, California","BrUnited Stateselas, Pitalito, Huila Department, Colombia",United States,Colombia,Colombia,,,,,
Guatemala Nueva Granda Washed Laurina,"Taipei, Taiwan","San Marcos, Guatemala ",Taiwan,Guatemala,Guatemala,,,,,
Ecuador Cruz Loma Sidra Anaerobic Euphora Special Lot,"Taipei, Taiwan","San José de Minas, Pichincha Province, Ecuador",Taiwan,Ecuador,Ecuador,,,,,
Colombia El Roble Natural Carbonic Java,"Denver, Colorado","Quindio Department, Colombia",United States,Colombia,Colombia,,,,,
Mexico Los Aguacates,"ManliUnited States, New York","Tenejapa, Chiapas, Mexico",United States,Mexico,Mexico,,,,,
Canet Chopard Raisin Honey,"Changua, Taiwan","Tarrazu growing region, Costa Rica",Taiwan,Costa Rica,Costa Rica,,,,,
Wilton Benitez Java,"Madison, Wisconsin","Piendamó, Cauca, Colombia",United States,Colombia,Colombia,,,,,
Guatemala El Injerto SL28,"San Rafael, California","La Libertad, Huehuetenango Department, Guatemala",United States,Guatemala,Guatemala,,,,,
Colombia El Roble Chiroso Washed,"Yilan, Taiwan","Quindio Department, Colombia",Taiwan,Colombia,Colombia,,,,,
Colombia Geisha Charlotte,"Changua, Taiwan","Vera Province, Huila Department, Colombia",Taiwan,Colombia,Colombia,,,,,
Colombia El Diviso Sidra Natural,"Johns Creek, Georgia","BrUnited Stateselas, Pitalito, Huila Department, Colombia",United States,Colombia,Colombia,,,,,
Kenya AA TOP Gicherori,"Yilan, Taiwan","Embu County, Kenya",Taiwan,Kenya,Kenya,,,,,
La Candelilla Geisha Natural Costa Rica,"Madison, Wisconsin","Tarrazú, Costa Rica",United States,Costa Rica,Costa Rica,,,,,
Colombia Luna Azul,"Lexington, Virginia","Santa Bárbara, Antioquia, Colombia",United States,Colombia,Colombia,,,,,
Colombia Yeast Anaerobic Washed Las Flores Bourbon Sidra,"Chia-Yi, Taiwan","Huila Department, Colombia",Taiwan,Colombia,Colombia,,,,,
Colombia Luna Azul,"Lexington, Virginia","Santa Bárbara, Antioquia, Colombia",United States,Colombia,Colombia,,,,,
Gesha Village Estate Yilu Forest Dimma,"Taichung, Taiwan","Gori Gesha Forest, Bench Maji Zone, SNNPR Region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Colombia Cauca Finca El Paraiso Double Anaerobic Flor Lichi,"Taichung, Taiwan","Cauca Department, Colombia",Taiwan,Colombia,Colombia,,,,,
Ethiopia Arbegona Natural 74158,"Taipei, Taiwan","Sidamo growing region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Colombia Finca Chambaku,"Floyd, Virginia","Manizales, Caldas, Colombia",United States,Colombia,Colombia,,,,,
El Salvador Unicorn,"Truckee, California","El Bálsamo Quetzaltepec, El Salvador",United States,El Salvador,El Salvador,,,,,
Ethiopia Yirgacheffe Koke,"Truckee, California","Yirgacheffe growing region, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Colombia Finca El Ventilador Pink Bourbon Anaerobic Natural,"Charlotte, North Carolina","Pitalito, Huila Department, Colombia",United States,Colombia,Colombia,,,,,
Ethiopia Worka Sakaro Anaerobic Natural,"Floyd, Virginia","Gedeb District, Gedeo Zone, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Anniversary Blend,"Sacramento, California",Kenya; Costa Rica,United States,Kenya; Costa Rica,Kenya, Costa Rica,,,,
Ethiopia Worka Sakaro Anaerobic Natural,"Floyd, Virginia","Gedeb District, Gedeo Zone, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Ethiopia Shantawene Washed,"Floyd, Virginia","Sidamo growing region, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Guatemala Las Colinas,"Sacramento, California","Cubulco, Guatemala",United States,Guatemala,Guatemala,,,,,
Ichamama Kenya,"Madison, Wisconsin","Nyeri County, Central Province, Kenya",United States,Kenya,Kenya,,,,,
El Salvador Unicorn,"Truckee, California","El Bálsamo Quetzaltepec, El Salvador",United States,El Salvador,El Salvador,,,,,
Guatemala Atitlan,"ManliUnited States, New York","Xojolá, Nahualá, Sololá, Guatemala",United States,Guatemala,Guatemala,,,,,
Costa Rica La Guaca Microlot Natural,"Madison, Wisconsin","Rivas District, Chirripo Region, Costa Rica",United States,Costa Rica,Costa Rica,,,,,
Ethiopia Yirgacheffe Natural Anaerobic,"Youngstown, Ohio","Gedeb District, Gedeo Zone, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Brazil Admilson Jose Galerani Microlot,"Fairfax, Virginia","Mogiana growing region, Sao Paulo State, Brazil",United States,Brazil,Brazil,,,,,
Ethiopia Worka Sakaro Anaerobic Natural,"Floyd, Virginia","Gedeb District, Gedeo Zone, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Ethiopia Natural Yirgacheffe Koke Shalaye Abraham Mengiste,"Taipei, Taiwan","Yirgacheffe growing region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
El Lechero Peru,"Madison, Wisconsin","El Carmen Cautivo, Tabaconas, Cajamarca, Peru",United States,Peru,Peru,,,,,
Gesha Village Estate Fruity Geisha Green Label Batch Bangi Lot 55,"Taichung, Taiwan","Gori Gesha Forest, Bench Maji Zone, SNNPR Region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Peru Paltachayoc,"ManliUnited States, New York","Paltachayoc, Santa Teresa, La Convención, CUnited Statesco, Peru",United States,Peru,Peru,,,,,
Mexico San Cristobal Decaf,"ManliUnited States, New York","San Cristobal, Chiapas, Mexico",United States,Mexico,Mexico,,,,,
Ethiopia Guji Euphora Special Honey Lot,"Taipei, Taiwan","Guji Zone, Oromia Region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Kenya Nyeri Gichathaini AA Top,"New Taipei City, Taiwan","Nyeri growing region, Kenya",Taiwan,Kenya,Kenya,,,,,
Costa Rica Las Lajas Milenio,"Seattle, Washington","Sabanilla de Alajuela, Central Valley, Costa Rica",United States,Costa Rica,Costa Rica,,,,,
Ethiopia Worka Sakaro Anaerobic Natural,"Floyd, Virginia","Gedeb District, Gedeo Zone, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Ethiopia Guji Hambela Tirtira Goyo Natural,"Taichung, Taiwan","Guji Zone, Oromia Region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Guatemala La Minita Antigua La Flor del Cafe,"Taichung, Taiwan","Antigua, Guatemala",Taiwan,Guatemala,Guatemala,,,,,
Thai Single-Origin A Washed Process Espresso,"Bangkok, Thailand","Doi Chang, Chiang Rai Province, Thailand",Thailand,Thailand,Thailand,,,,,
Ecuador COE 1st place Arashi Typica Mejorado Washed,"Yilan, Taiwan","Saraguro, Loja, Ecuador",Taiwan,Ecuador,Ecuador,,,,,
Taiwan Natural Alishan Zhuo-Wu Geisha,"Chia-Yi, Taiwan","Alishan, Chia-Yi, Taiwan",Taiwan,Taiwan,Taiwan,,,,,
Guatemala Washed El Injerto EI05 Mocca,"Chia-Yi, Taiwan","La Libertad, Huehuetenango Department, Guatemala",Taiwan,Guatemala,Guatemala,,,,,
Colombia La Esperanza 100% Geisha Hanashaku,"Taoyuan, Taiwan","Valle de Cauca, Colombia",Taiwan,Colombia,Colombia,,,,,
Kona Extra Fancy,"Lincoln, California","Kona growing region, United States",United States,United States,United States,,,,,
Ethiopia Guji Uraga Tobutu Tuta G1 Experimental LOT 181NA2021,"Osaka, Japan","Guji Zone, Oromia Region, Ethiopia",Japan,Ethiopia,Ethiopia,,,,,
Colombia Cauca Finca El Paraiso Rose Tea,"New Taipei City, Taiwan","Cauca Department, Colombia",Taiwan,Colombia,Colombia,,,,,
Colombia Jardines del Eden Pink Bourbon Wine Yeast Honey,"Toronto, Canada","Pijao, Quindio Department, Colombia",Canada,Colombia,Colombia,,,,,
Colombia Castillo Fruit Maceration Series (Passionfruit),"Jersey City, New Jersey","Armenia, Quindio Department, Colombia",United States,Colombia,Colombia,,,,,
Colombia Castillo Fruit Maceration Series (Grape),"Jersey City, New Jersey","Armenia, Quindio Department, Colombia",United States,Colombia,Colombia,,,,,
Colombia Castillo Fruit Maceration Series (Strawberry),"Jersey City, New Jersey","Armenia, Quindio Department, Colombia",United States,Colombia,Colombia,,,,,
Balearic Beans,"Jersey City, New Jersey","Armenia, Quindio Department, Colombia; Ethiopia",United States,Colombia; Ethiopia,Colombia, Ethiopia,,,,
Colombia Castillo Fruit Maceration Series (Peach),"Jersey City, New Jersey","Armenia, Quindio Department, Colombia",United States,Colombia,Colombia,,,,,
Colombia El Paraiso Floral Lychee,"Taipei, Taiwan","Cauca Department, Colombia",Taiwan,Colombia,Colombia,,,,,
Symphony Costa Rica Canet Caturra Raisin Honey,"Hsinchu, Taiwan","Tarrazu growing region, Costa Rica",Taiwan,Costa Rica,Costa Rica,,,,,
Costa Rica Canet Raisin Honey,"Banqiao, New Taipei City, Taiwan","Tarrazu growing region, Costa Rica",Taiwan,Costa Rica,Costa Rica,,,,,
Costa Rica Canet MUnited Statesician Mozart,"Taoyuan, Taiwan","Tarrazu growing region, Costa Rica",Taiwan,Costa Rica,Costa Rica,,,,,
Ethiopia Sidama Tamiru Tadesse Anaerobic Natural Special Auction Lot,"Taipei, Taiwan","Guji Zone, Oromia Region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Peru Gesha Limited-Release Homer Alarcón Gayoso,"Santa Rosa Beach, Florida","Cajamarca, Peru",United States,Peru,Peru,,,,,
Costa Rica Cerro Dragon Geisha Honey,"Bozeman, Montana","Tarrazú, Costa Rica",United States,Costa Rica,Costa Rica,,,,,
Full Moon Espresso,"Taipei, Taiwan",Ethiopia; Guatemala; El Salvador; Panama; Costa Rica,Taiwan,Ethiopia; Guatemala; El Salvador; Panama; Costa Rica,Ethiopia, Guatemala, El Salvador, Panama, Costa Rica,
Ethiopia Guji Uraga More Floral Kudume Washed,"Yilan, Taiwan","Guji Zone, Oromia Region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Ethiopia Guji Uraga More Floral Kudume Natural,"Yilan, Taiwan","Guji Zone, Oromia Region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Colombia Cauca Finca El Paraiso Double-Anaerobic Flor Lychee,"Changhua, Taiwan","Cauca Department, Colombia",Taiwan,Colombia,Colombia,,,,,
Ethiopia Birbisakela Washed G1,"New Taipei City, Taiwan","Yirgacheffe growing region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Papua New Guinea Wahgi Valley Sigri Estate Peaberry,"Taipei City, Taiwan","Western Highlands Province, Papua New Guinea",Taiwan,Papua New Guinea,Papua New Guinea,,,,,
Colombia Cerro Azul Enano,"San Rafael, California","Trujillo, Valle del Cauca Department, Colombia",United States,Colombia,Colombia,,,,,
Peru Incahuasi,"Phoenix, Arizona","CUnited Statesco Region, Peru",United States,Peru,Peru,,,,,
Ethiopia Bekele Heto Natural,"Oakland, California","Worka-Sakaro, Gedeb District, Gedeo Zone, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Costa Rica La Toboba Red Honey,"Reno, Nevada","Tarrazú, Costa Rica",United States,Costa Rica,Costa Rica,,,,,
Colombia Buesaco,"Reno, Nevada","Nariño, Colombia",United States,Colombia,Colombia,,,,,
Kenya AA,"Xitun District, Taichung, Taiwan","Nyeri County, Kenya",Taiwan,Kenya,Kenya,,,,,
Ethiopia Bench Maji Geisha G1 Natural,"New Taipei City, Taiwan","Bench-Maji Zone, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Ethiopia Biloya Washed G1,"New Taipei City, Taiwan","Yirgacheffe growing region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Ethiopia Sidamo Bensa Washed G1,"New Taipei City, Taiwan","Sidamo growing region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Kenya Nyeri Asali Peaberry,"Taipei City, Taiwan","Nyeri growing region, Kenya",Taiwan,Kenya,Kenya,,,,,
Kenya Ichuga AA,"North Canaan, Connecticut","Nyeri County, Kenya",United States,Kenya,Kenya,,,,,
Burundi Natural Anaerobic Kibingo,"Santa Rosa Beach, Florida","Kayanza, Burundi",United States,Burundi,Burundi,,,,,
Kenya Gichithaini AA,"Burlington, Vermont","Mathira West District, Nyeri County, Kenya",United States,Kenya,Kenya,,,,,
Ethiopia Getu Kurume Natural,"Hsinchu, Taiwan","Yirgacheffe growing region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Kenya Nyeri Hill,"Lexington, Virginia ","Nyeri growing region, Kenya",United States,Kenya,Kenya,,,,,
Ethiopia Gera Estate Anaerobic Natural,"Charlotte, North Carolina","Djimma growing region, Oromia State, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Kenya Nyeri Hill,"Lexington, Virginia ","Nyeri growing region, Kenya",United States,Kenya,Kenya,,,,,
Bat Country Dark Roast Ethiopia,"AUnited Statestin, Texas","Yirgacheffe growing region, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Reina de la Asuncion Ecuador,"Madison, Wisconsin","Congonama, Loja, Ecuador",United States,Ecuador,Ecuador,,,,,
Reina de la Asuncion Ecuador,"Madison, Wisconsin","Congonama, Loja, Ecuador",United States,Ecuador,Ecuador,,,,,
Memories of Autumn,"Taitung, Taiwan",Ethiopia; Colombia,Taiwan,Ethiopia; Colombia,Ethiopia, Colombia,,,,
Kenya Gathaithi AA,"Montrose, Colorado","Nyeri growing region, Kenya",United States,Kenya,Kenya,,,,,
Colombia Aponte’s Guardians,"Phoenix, Arizona","Nariño Department, Colombia",United States,Colombia,Colombia,,,,,
Costa Rica Las Lajas Perla Negra,"Durango, Colorado ","Sabanilla de Alajuela growing region, Costa Rica",United States,Costa Rica,Costa Rica,,,,,
Costa Rica Las Lajas Perla Negra,"Durango, Colorado ","Sabanilla de Alajuela growing region, Costa Rica",United States,Costa Rica,Costa Rica,,,,,
Kenya Karindundu AB,"Richmond, Virginia","Nyeri County, Kenya",United States,Kenya,Kenya,,,,,
Open Country Cafe Series,"Bozeman, Montana","El Salvador, Guatemala",United States,Guatemala,Guatemala,,,,,
Birhanu Sisters’ Ethiopia,"El Cerrito, California","Yirgacheffe growing region, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Nicaragua Flor de Dalia Natural,"San Rafael, California","La Dalia, Matagalpa Department, northern Nicaragua",United States,northern Nicaragua,northern Nicaragua,,,,,
Ethiopia Hambela Dabaye,"Montrose, Colorado","Guji Zone, Oromia Region, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Ethiopia Benti Nenka Dry Process,"Montrose, Colorado","Yirgacheffe growing region, Ethiopia",United States,Ethiopia,Ethiopia,,,,,
Shut-Eye Decaf,"Montrose, Colorado",Colombia,United States,Colombia,Colombia,,,,,
Backwoods Espresso,"Bozeman, Montana","Costa Rica, El Salvador",United States,El Salvador,El Salvador,,,,,
El Triunfo Mexico,"Madison, Wisconsin","Sierra Madre, Chiapas State, Mexico",United States,Mexico,Mexico,,,,,
Blue Ridge Blend,"Lexington, Virginia",,United States,,,,,,,
El Triunfo Mexico,"Madison, Wisconsin","Sierra Madre, Chiapas State, Mexico",United States,Mexico,Mexico,,,,,
Ethiopia Natural Guji Uraga Tome 74110 Lot K06,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Guatemala Finca Las Victorias Anaerobic Natural,"Taipei, Taiwan","Fraijanes Plateau, Guatemala",Taiwan,Guatemala,Guatemala,,,,,
Ethiopia Natural Guji Morel Floral Kudume,"Taitung, Taiwan","Guji Zone, Oromia Region, Ethiopia",Taiwan,Ethiopia,Ethiopia,,,,,
Taste Bud Travel Blend Espresso,"Taipei City, Taiwan",Brazil; Costa Rica; Guatemala,Taiwan,Brazil; Costa Rica; Guatemala,Brazil, Costa Rica, Guatemala,,,
Fruit of the Goddess Espresso Blend,"Taipei City, Taiwan",Kenya; Costa Rica; Ethiopia,Taiwan,Kenya; Costa Rica; Ethiopia,Kenya, Costa Rica, Ethiopia,,,
Kenya AA,"Xitun District, Taichung, Taiwan","Nyeri County, Kenya",Taiwan,Kenya,Kenya,,,,,
Honduras Washed Amucap Espresso,"Chia-Yi, Taiwan","Masaguara, Intibucá Department, Honduras",Taiwan,Honduras,Honduras,,,,,
World 2.0 Espresso Blend,"Taipei, Taiwan",Guatemala; Nicaragua; Ethiopia; Costa Rica; Indonesia; Brazil,Taiwan,Guatemala; Nicaragua; Ethiopia; Costa Rica; Indonesia; Brazil,Guatemala, Nicaragua, Ethiopia, Costa Rica, Indonesia, Brazil
Panama Hacienda La Esmeralda Ethiopia Accessions,"Minneapolis, Minnesota","Boquete growing region, Panama",United States,Panama,Panama,,,,,
Kona Red Wine Process,"Minneapolis, Minnesota","Kona, United States",United States,United States,United States,,,,,
Port of Mokha Auction Lot 19: Mohamed Ahmed Al Rumaim,"Taipei, Taiwan","Al Hayma District, Sana’a Governorate, Yemen",Taiwan,Yemen,Yemen,,,,,
Yemen Port of Mokha Al-Jabal,"San Jose, California","Jabal Haraz, Sana’a Governorate, Yemen",United States,Yemen,Yemen,,,,,
Yemen Sana’a,"San Rafael, California","Sana’a Governorate, Yemen",United States,Yemen,Yemen,,,,,
Yemen Mocha Haimi,"Henderson, Nevada","Al Hayma District, Sana’a Governorate, Yemen",United States,Yemen,Yemen,,,,,
Guatemala El Injerto Natural Legendary Gesha 7,"Chia-Yi, Taiwan","La Libertad, Huehuetenango Department, Guatemala",Taiwan,Guatemala,Guatemala,,,,,
Yemen Mocha Haimi,"Henderson, Nevada","Al Hayma District, Sana’a Governorate, Yemen",United States,Yemen,Yemen,,,,,
